phase2_index,sim_score,triplets_index
68452,1.0,135834
68084,1.0,134876
68108,0.9745,134356
70027,0.9411,140681
70028,0.939,140681
68227,0.917,132762
68985,0.8966,134879
68857,0.8719,135016
68218,0.8636,135071
68085,0.8462,134900
68226,0.8433,132762
68233,0.8187,135014
68438,0.8175,134883
68439,0.8167,134883
68856,0.8147,135016
68995,0.8081,134879
68944,0.8,135079
68232,0.7622,135014
68747,0.7509,134362
68449,0.7459,134534
70024,0.7449,140681
68759,0.744,134313
68962,0.7404,135346
69002,0.7321,134879
68096,0.7321,134926
68921,0.7258,134819
69581,0.7238,134879
69656,0.7219,134883
69261,0.701,135079
68881,0.6998,134716
69106,0.6987,132733
68107,0.6944,135946
69870,0.6942,135014
68851,0.6933,135983
69867,0.6906,135014
69546,0.6823,135014
68111,0.6756,134353
68850,0.6696,135983
67947,0.6667,134327
68113,0.6646,135834
69504,0.6633,134317
69864,0.6588,135014
68758,0.6426,134313
68223,0.6384,134317
68905,0.6327,135079
69436,0.6281,135016
69498,0.6193,134317
69434,0.6109,134353
69433,0.6109,134353
68222,0.6072,134317
67940,0.6062,134950
70050,0.603,134894
70047,0.603,134894
69549,0.602,135014
68880,0.5876,134716
69008,0.5714,135946
68112,0.5701,134322
70022,0.5682,135065
68219,0.5674,134894
69510,0.5635,134317
70062,0.563,134936
68904,0.5249,135242
68104,0.5208,135901
68731,0.5109,134886
69571,0.5029,135946
69161,0.4932,135436
68746,0.4929,134328
69044,0.4842,135075
69577,0.4795,135983
69092,0.4778,135833
68730,0.4733,134894
69863,0.4713,135436
69009,0.4664,134293
68442,0.4646,135820
70029,0.4576,135048
69329,0.4503,135820
68443,0.4455,135820
69575,0.4371,135983
69053,0.4371,134365
68363,0.437,135902
69043,0.4339,134269
68364,0.4262,135902
68097,0.4177,134356
68354,0.4119,134936
69162,0.4107,135436
67941,0.3874,134950
68095,0.3824,134322
69694,0.3223,135902
69692,0.3215,135902
68360,0.3202,135902
68359,0.3136,135902
68093,0.3048,134322
69647,0.2983,134526
69845,0.2947,134332
69846,0.2947,134332
69843,0.2947,134332
69844,0.2947,134332
69404,0.2902,135960
69402,0.2902,135960
69400,0.2895,135960
69398,0.2895,135960
68094,0.2876,134322
68316,0.2833,135902
69319,0.2714,134332
69702,0.2682,135902
69696,0.2648,135902
69320,0.2599,134332
69698,0.2594,135902
69042,0.2521,135904
68362,0.2474,135902
68361,0.2449,135902
70057,0.2447,134936
70068,0.2447,134936
69369,0.2435,134297
69052,0.2403,135953
70053,0.2393,134936
69038,0.2351,135240
69543,0.2326,135436
69544,0.2319,135436
70045,0.2315,134525
69431,0.2314,134322
69429,0.2268,134322
69432,0.2249,134926
69430,0.224,134926
68371,0.2159,135948
69374,0.214,134575
68092,0.2138,134926
69700,0.2128,135902
69542,0.2126,134825
69541,0.2119,134825
68355,0.2097,134936
68920,0.2078,134825
69852,0.2038,140641
69854,0.2009,134825
69152,0.2002,140681
69151,0.1996,140681
67966,0.1987,140656
69652,0.1948,134525
67946,0.1926,134730
70012,0.1874,140704
70015,0.1874,140704
70017,0.1874,140704
70019,0.1874,140704
69370,0.1869,135322
69545,0.1849,134894
69578,0.184,135821
68874,0.1811,140710
68875,0.1809,140710
67967,0.1738,140656
69406,0.1722,135902
69408,0.1722,135902
69410,0.1719,135902
69412,0.1719,135902
69373,0.1695,134575
68239,0.1677,134693
68892,0.1669,140641
68353,0.1594,135998
69657,0.1586,135998
69675,0.1586,135998
69664,0.1583,135998
69682,0.1583,135998
69847,0.1567,134693
68238,0.1562,140641
68356,0.1551,134936
69557,0.1493,135975
69562,0.1493,135975
69554,0.1491,135975
69567,0.1491,135975
69520,0.1482,140645
69513,0.1482,140645
69534,0.1481,140645
69527,0.1481,140645
69397,0.1357,134404
69476,0.1255,134322
69068,0.1187,135931
68448,0.1099,134541
68890,0.1031,140710
69731,0.1028,134878
68243,0.1024,135772
69736,0.1023,134878
69732,0.1023,134878
69730,0.1023,134878
68891,0.094,140710
69849,0.0915,134878
69850,0.0915,134878
69851,0.0915,134878
69722,0.0909,134627
68242,0.0909,135601
69714,0.0904,134627
69704,0.0904,134627
68754,0.0904,135261
69421,0.0892,134540
69425,0.0891,134540
69045,0.0877,135474
69046,0.0866,135474
69061,0.0862,135474
67945,0.0854,135834
70043,0.0843,135474
69601,0.0833,135474
70041,0.0829,135474
69604,0.0822,135474
69607,0.0819,135474
69060,0.0817,135474
68922,0.0811,134878
69641,0.0807,135474
70035,0.0805,134883
69598,0.0804,135474
69858,0.0801,134878
69857,0.0801,134878
69856,0.0801,134878
69624,0.0798,135474
69634,0.0795,135474
68756,0.0791,134878
69479,0.0788,134509
68757,0.0786,134878
69485,0.0785,134509
69481,0.0785,134509
69483,0.0785,134509
69630,0.0783,135474
69862,0.0735,135220
69860,0.0728,135220
68923,0.0716,135220
69873,0.0709,134876
69495,0.07,135834
69492,0.07,135834
69490,0.07,135834
69487,0.07,135834
69322,0.0697,140681
69172,0.069,134249
69321,0.0674,140681
70033,0.0671,134249
69414,0.0666,135243
69417,0.0664,135243
69171,0.0662,134249
69415,0.0658,135243
70034,0.0656,134249
69334,0.0654,134249
69552,0.0645,135572
69333,0.0641,134249
70030,0.0633,134249
70031,0.0633,134249
70032,0.0633,134249
69621,0.0601,140645
69620,0.06,140645
69623,0.0599,140645
69553,0.0585,135023
69611,0.055,140645
69612,0.0549,140645
69614,0.0548,140645
69616,0.0548,140645
67944,0.0521,132787
69418,0.0518,134540
69420,0.0513,134540
69419,0.0502,132787
