phase2_index,sim_score,triplets_index
100485,1.0,35424
99715,1.0,39264
100238,1.0,35697
100208,1.0,36039
100322,1.0,38189
100298,1.0,38188
100383,1.0,35397
100954,0.9928,62221
101485,0.9912,35697
100216,0.9727,35953
101478,0.9655,35697
100246,0.9644,35773
99750,0.9372,37569
100323,0.9304,38169
100324,0.9237,38189
100299,0.9192,38168
100209,0.9133,36039
100247,0.9075,35322
100314,0.8945,38188
100217,0.8874,36751
100239,0.8785,35697
100382,0.8768,35397
100293,0.876,38188
100488,0.8636,39889
100355,0.8609,38260
100269,0.8592,38184
100955,0.8586,62221
100325,0.8505,38169
100489,0.8499,39889
100347,0.8462,38173
100339,0.8462,38178
100338,0.8413,38188
100346,0.8413,38188
100292,0.8349,38180
100307,0.8261,38176
100306,0.8178,38188
100354,0.8178,38188
100268,0.8176,38184
100315,0.8165,38188
99199,0.7585,62221
99198,0.7536,62221
100934,0.7448,35381
99714,0.7283,39264
101491,0.6862,62221
101507,0.6829,62221
99751,0.6764,37569
100486,0.6729,35424
100387,0.669,39163
100484,0.6297,35397
100460,0.6161,37569
101529,0.5974,35381
101527,0.5834,35381
101525,0.5787,35381
101523,0.5784,35381
100167,0.575,37275
100386,0.4658,39163
100166,0.4399,37275
100823,0.42,38943
100819,0.337,37270
100818,0.3341,37270
100582,0.3211,39889
101610,0.321,39425
100583,0.3198,39416
101607,0.319,39425
99299,0.312,39416
101375,0.311,38961
101599,0.3062,39416
100822,0.3059,38943
101591,0.3048,39416
100584,0.2983,39889
100645,0.2972,39410
100644,0.2919,39410
100935,0.2837,38722
100585,0.2592,39318
101472,0.256,39080
101374,0.2507,38961
101475,0.2507,39080
100939,0.242,35362
101565,0.242,35362
101531,0.242,35362
100938,0.2419,35362
100643,0.2418,39080
100642,0.2365,39080
101433,0.2341,35362
101410,0.2341,35362
101445,0.234,35362
101422,0.2339,35362
100577,0.2256,39157
100576,0.223,39157
100805,0.2193,37820
99298,0.1943,39416
100395,0.191,35526
100390,0.19,38743
100394,0.1832,35526
99744,0.1732,38821
99745,0.1696,38821
100391,0.1631,62305
100804,0.1529,37820
100042,0.1501,38821
99226,0.1439,38821
101554,0.1369,35362
101456,0.1355,40802
101576,0.1305,40802
101543,0.1241,35392
99227,0.1166,62651
