project,N,tp,fn,tn,fp,accuracy,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-jexl3-3.2.1-src,2866,1782,420,458,206,0.7816,0.8506,0.8093,0.6898,0.7683,0.2317,0.6405,0.7663,0.1411,0.27,0.45,0.34
commons-weaver-2.0-src,210,119,25,29,37,0.7048,0.7933,0.8264,0.4394,0.6857,0.3143,0.5652,0.6812,0.1396,0.32,0.43,0.37
commons-geometry-1.0-src,4680,3246,343,292,799,0.756,0.8504,0.9044,0.2676,0.7669,0.2331,0.6504,0.7727,0.1056,0.31,0.44,0.38
commons-rng-1.4-src,1609,1004,189,128,288,0.7035,0.808,0.8416,0.3077,0.7415,0.2585,0.6127,0.7392,0.0908,0.28,0.39,0.34
springside4,2531,1582,232,123,594,0.6736,0.793,0.8721,0.1715,0.7167,0.2833,0.5884,0.7121,0.0852,0.25,0.35,0.3
commons-beanutils-1.9.4,1691,910,86,72,623,0.5807,0.7197,0.9137,0.1036,0.589,0.411,0.5211,0.5946,0.0596,0.24,0.4,0.29
async-http-client,140,78,15,6,41,0.6,0.7358,0.8387,0.1277,0.6643,0.3357,0.5609,0.6686,0.0391,0.37,0.45,0.42
commons-configuration2-2.8.0-src,1176,639,151,54,332,0.5893,0.7257,0.8089,0.1399,0.6718,0.3282,0.559,0.6714,0.0303,0.28,0.42,0.33
commons-vfs-2.9.0,977,555,166,66,190,0.6356,0.7572,0.7698,0.2578,0.738,0.262,0.6062,0.7332,0.0294,0.33,0.43,0.38
commons-net-3.8.0,3327,1841,369,89,1028,0.5801,0.7249,0.833,0.0797,0.6643,0.3357,0.5574,0.6689,0.0227,0.32,0.35,0.33
commons-validator-1.7,2560,1884,298,70,308,0.7633,0.8615,0.8634,0.1852,0.8523,0.1477,0.7479,0.8518,0.0154,0.28,0.36,0.32
commons-lang3-3.12.0-src,12046,9437,1183,197,1229,0.7998,0.8867,0.8886,0.1381,0.8816,0.1184,0.7902,0.881,0.0096,0.2,0.35,0.27
commons-jcs3-3.1-src,4150,2988,661,147,354,0.7554,0.8548,0.8189,0.2934,0.8793,0.1207,0.7872,0.879,-0.0318,0.31,0.39,0.35
bcel-6.5.0-src,14767,9366,3236,489,1676,0.6674,0.7923,0.7432,0.2259,0.8534,0.1466,0.7519,0.8549,-0.0845,0.28,0.44,0.35
spark,3872,3385,429,9,49,0.8765,0.9341,0.8875,0.1552,0.985,0.015,0.9718,0.9857,-0.0953,0.34,0.47,0.42
commons-numbers-1.0-src,39036,34001,4840,19,176,0.8715,0.9313,0.8754,0.0974,0.995,0.005,0.9901,0.995,-0.1186,0.16,0.29,0.25
joda-time,18505,13171,3765,273,1296,0.7265,0.8388,0.7777,0.174,0.9152,0.0848,0.8454,0.9156,-0.1189,0.26,0.44,0.37
scribejava,158,40,46,17,55,0.3608,0.442,0.4651,0.2361,0.5443,0.4557,0.5007,0.5369,-0.1399,0.31,0.42,0.36
commons-collections4-4.4-src,1126,658,336,28,104,0.6092,0.7494,0.662,0.2121,0.8828,0.1172,0.7954,0.8839,-0.1862,0.43,0.41,0.42
commons-dbutils-1.7,676,176,347,51,102,0.3358,0.4395,0.3365,0.3333,0.7737,0.2263,0.6472,0.772,-0.3114,0.3,0.46,0.41
commons-imaging-1.0-alpha3-src,2259,563,1313,34,349,0.2643,0.4039,0.3001,0.0888,0.8305,0.1695,0.7139,0.8274,-0.4496,0.3,0.43,0.37
commons-pool2-2.11.1-src,4383,2146,2227,1,9,0.4898,0.6575,0.4907,0.1,0.9977,0.0023,0.9958,0.9979,-0.506,0.25,0.43,0.38
jsoup,7930,2800,4631,77,422,0.3628,0.5257,0.3768,0.1543,0.9371,0.0629,0.881,0.9365,-0.5182,0.08,0.43,0.28
JSON-java,10813,4797,6010,6,0,0.4442,0.6148,0.4439,1.0,0.9994,0.0006,0.9989,0.9994,-0.5547,0.22,0.49,0.42
http-request,3987,1336,2642,1,8,0.3353,0.5021,0.3358,0.1111,0.9977,0.0023,0.9957,0.9979,-0.6604,0.27,0.43,0.35
all,145475,98504,33960,2736,10275,0.6959,0.8166,0.7436,0.2103,0.9106,0.0894,0.837,0.9105,-0.1411,0.22,0.37,0.31
