project,N,tp,fn,tn,fp,accuracy,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
jsoup,3,1,1,1,0,0.6667,0.6667,0.5,1.0,0.6667,0.3333,0.5579,0.6361,0.1088,0.01,0.33,0.08
commons-numbers-1.0-src,7,7,0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.05,0.39,0.09
commons-lang3-3.12.0-src,2,2,0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.03,0.21,0.08
joda-time,6,0,0,1,5,0.1667,0.0,0.0,0.1667,0.0,1.0,1.0,0.0,-0.8333,0.0,0.43,0.04
JSON-java,8,0,8,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0,0.04,0.38,0.1
all,26,10,9,2,5,0.4615,0.5882,0.5263,0.2857,0.7308,0.2692,0.6883,0.81,-0.2268,0.02,0.37,0.08
