project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-numbers-1.0-src,5,5,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9875,0.9937,0.0125,0.0,0.07,0.04
commons-lang3-3.12.0-src,73,39,0,2,32,0.5616,0.55,1.0,0.7091,1.0,0.0588,0.5342,0.4658,0.7929,0.8829,-0.2313,0.03,0.13,0.03
joda-time,33,11,0,2,20,0.3939,0.35,1.0,0.5238,1.0,0.0909,0.3333,0.6667,0.8816,0.9367,-0.4877,0.01,0.15,0.03
jsoup,20,3,1,1,15,0.2,0.17,0.75,0.2727,0.75,0.0625,0.2,0.8,0.8801,0.936,-0.6801,0.0,0.13,0.03
all,131,58,1,5,67,0.4809,0.46,0.98,0.6304,0.9831,0.0694,0.4504,0.5496,0.8367,0.9103,-0.3558,0.03,0.13,0.03
