project,N,tp,fn,tn,fp,accuracy,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-lang3-3.12.0-src,176,124,1,2,49,0.7159,0.8322,0.992,0.0392,0.7102,0.2898,0.5844,0.7075,0.1315,0.03,0.16,0.04
commons-jcs3-3.1-src,5,4,0,0,1,0.8,0.8889,1.0,0.0,0.8,0.2,0.6781,0.7871,0.1219,0.08,0.14,0.09
commons-numbers-1.0-src,100,78,4,1,17,0.79,0.8814,0.9512,0.0556,0.82,0.18,0.7077,0.8217,0.0823,0.06,0.14,0.08
jsoup,58,33,1,1,23,0.5862,0.7333,0.9706,0.0417,0.5862,0.4138,0.5159,0.5871,0.0703,0.05,0.18,0.08
joda-time,79,37,6,8,28,0.5696,0.6852,0.8605,0.2222,0.5443,0.4557,0.5044,0.54,0.0652,0.03,0.16,0.05
commons-net-3.8.0,3,3,0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.17,0.06,0.1
commons-jexl3-3.2.1-src,11,11,0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.05,0.18,0.06
commons-rng-1.4-src,2,2,0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.07,0.09,0.08
commons-configuration2-2.8.0-src,2,1,0,0,1,0.5,0.6667,1.0,0.0,0.5,0.5,0.5,0.4117,0.0,0.1,0.13,0.1
commons-validator-1.7,6,6,0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.07,0.17,0.1
springside4,8,1,0,0,7,0.125,0.2222,1.0,0.0,0.125,0.875,0.7824,0.0894,-0.6574,0.09,0.11,0.1
JSON-java,17,0,15,1,1,0.0588,0.0,0.0,0.5,0.8824,0.1176,0.7926,0.8808,-0.7338,0.07,0.18,0.08
bcel-6.5.0-src,5,0,0,0,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.12,0.06
commons-pool2-2.11.1-src,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.06,0.18,0.1
all,473,300,27,13,133,0.6617,0.7895,0.9174,0.089,0.6913,0.3087,0.6565,0.7856,0.0052,0.04,0.16,0.06
